127.0.0.1 - - [18/May/2018:09:16:42 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 7633
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:44 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:45 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:45 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:45 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [18/May/2018:09:16:46 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [18/May/2018:09:44:29 -0500] "GET /AvanceWeb/GeneraCita HTTP/1.1" 404 1189
0:0:0:0:0:0:0:1 - - [18/May/2018:09:44:34 -0500] "GET /AvanceWeb/GeneraCita.jsp HTTP/1.1" 200 7633
0:0:0:0:0:0:0:1 - - [18/May/2018:09:44:34 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/May/2018:09:44:34 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [18/May/2018:10:10:46 -0500] "GET /AvanceWeb/GeneraCita.jsp HTTP/1.1" 200 8988
0:0:0:0:0:0:0:1 - - [18/May/2018:10:10:46 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/May/2018:10:10:46 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [18/May/2018:10:18:07 -0500] "GET /AvanceWeb/GeneraCita.jsp HTTP/1.1" 200 8977
