127.0.0.1 - - [31/May/2018:00:32:22 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [31/May/2018:00:32:24 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7646
0:0:0:0:0:0:0:1 - - [31/May/2018:00:32:25 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:32:25 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [31/May/2018:00:35:35 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [31/May/2018:00:35:36 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:36:16 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [31/May/2018:00:36:16 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:36:54 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [31/May/2018:00:36:54 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:21 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7560
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:21 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:33 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:33 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:48 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [31/May/2018:00:38:48 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:05 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:05 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:17 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:17 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:28 -0500] "GET /AvanceWeb/GeneraCitaMedica.jsp HTTP/1.1" 200 7358
0:0:0:0:0:0:0:1 - - [31/May/2018:00:39:29 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [31/May/2018:01:35:43 -0500] "GET /AvanceWeb/generarCita?computadora.nombre=2008100000029222 HTTP/1.1" 404 1191
